,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
3110,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2016,06,01,0,1
4018,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,02,11,0,0
2151,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2014,11,02,0,0
3687,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,07,23,0,0
4916,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,08,11,1,0
1997,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,08,17,0,0
4033,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2018,02,27,0,1
5881,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2021,05,18,0,1
3054,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2016,05,04,0,1
1248,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,02,12,0,1
2192,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,11,21,0,1
2712,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2015,07,31,0,1
992,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2012,08,20,1,1
2190,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2014,11,18,0,1
4670,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2019,02,26,0,1
3762,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2017,09,08,0,1
3597,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,05,20,0,0
4711,Enugu,64.6,68.00408363,28.17356884,19.55714286,4.26,2019,03,11,0,1
1318,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2013,03,29,1,1
1863,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2014,06,15,0,0
2343,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,02,01,0,0
2449,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,03,14,0,0
2136,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2014,10,27,0,1
1065,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,10,14,0,0
5948,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2021,06,09,0,1
4227,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,05,17,0,1
2621,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2015,06,23,0,1
77,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,1999,11,13,0,0
2898,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2016,01,10,0,0
4820,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,06,01,0,0
1314,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2013,03,25,0,1
5229,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,04,07,0,1
872,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,06,05,0,1
3850,Anambra,80.0,43.35963428,26.72869563,11.41428571,4.5,2017,11,13,0,1
5737,Ebonyi,67.2,87.78492808,70.04756331,11.41428571,5.1,2021,04,06,0,1
2965,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,03,08,0,1
3391,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,11,26,0,0
2560,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,05,13,0,1
5874,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2021,05,18,0,1
2635,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,07,02,0,1
3530,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,03,30,0,1
375,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2010,10,22,0,1
1908,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,07,04,0,1
4429,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,10,18,0,1
